code,date,src,bid_peak,eligible_count,base_peak,have_days,base_all_hogaplay,base_min_eligible,ratio,name,market,is_etf,same_source,open,high,low,close,volume,ret_d,body_d,ret5_pre,ret20_pre,ret_rs,adv20,vol_ratio20,hi52,prior_hi20,fwd1,fwd3,fwd5,fwd10,fwd20,fwd1_o,fwd3_o,fwd5_o,fwd10_o,fwd20_o,gap_next,fwd_max_high,fwd_min_low,fwd_min_close,ma5,ma20,ma60,ma120,mfe10,mae10,support_low_held,support_close_held,resist_broken,breakout_on_d,pct_of_hi52,above_ma5,above_ma20,above_ma60,above_ma120,ma_bull_align,rs_pct,open_right,high_right,low_right,close_right,ix_ret1,ix_body,ix_ret5_pre,ix_ret20_pre,ix_above_ma20,ix_above_ma60,ix_fwd1,ix_fwd3,ix_fwd5,ix_fwd10,ix_fwd20,leader_rs,leader_user,leader_bucket,ratio_bucket,ix_mom5,ix_candle,ix_trend,d_candle,ma_state,ma_pos,hi52_pos,xs1,xs3,xs5,xs10,xs20,peak_tod,peak_tod_bucket
017800,20251017,hogaplay,36186,21795,17811,10,true,12485,2.0316658244904833,현대엘리베이터,KOSPI,false,true,80400.0,80500.0,78300.0,79300.0,221765,-0.01977750309023485,-0.013681592039800995,-0.031746031746031744,0.0,0.14265129682997113,19029901815.0,0.9549973666679156,91800.0,87000.0,0.044136191677175196,0.06431273644388402,0.07061790668348045,-0.045397225725094525,0.031525851197982346,0.020961775585696563,0.040690505548705236,0.04685573366214557,-0.06658446362515413,0.008631319358816336,0.022698612862547263,87600.0,73700.0,75700.0,80960.0,80205.0,80856.66666666667,80075.83333333333,0.10466582597730145,-0.07061790668348045,false,false,true,false,0.8638344226579521,false,false,false,false,false,0.24448897795591182,3732.76,3794.87,3722.07,3748.89,0.00013872696665484519,0.004321199327039417,0.0383011133883564,0.10406297672829656,true,true,0.017551862017823883,0.03595464257420189,0.051401881623627244,0.0956576479971405,0.07006874034714294,false,false,비주도주,2.0–3.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 음봉,비정배열,MA20 아래,52주 고가 5–20% 아래,0.026584329659351313,0.028358093869682133,0.019216025059853203,-0.14105487372223502,-0.0385428891491606,,
017800,20251202,hogaplay,30785,25180,20126,10,true,16987,1.5296134353572493,현대엘리베이터,KOSPI,false,true,88000.0,88400.0,86000.0,87300.0,342484,-0.004561003420752607,-0.007954545454545454,0.07116564417177917,0.20082530949105926,0.09811320754716979,29028184770.0,0.9530210997598135,91800.0,90200.0,0.04696449026345939,0.05269186712485685,0.07216494845360821,0.0458190148911799,0.00572737686139746,0.03628117913832196,0.04195011337868482,0.061224489795918435,0.035147392290249435,-0.0045351473922902175,0.010309278350515427,95000.0,87200.0,91200.0,85000.0,79525.0,79951.66666666667,81560.83333333333,0.0882016036655211,-0.001145475372279492,true,true,true,false,0.9509803921568627,true,true,true,true,false,0.28725701943844495,3939.09,3994.93,3935.14,3994.93,0.019018613039075483,0.014175862953118535,0.035551534820544406,-0.030766132749761033,true,true,0.010355625755645415,0.026313352173880533,0.03720215372985258,0.0010513325640248983,0.07877484711872307,false,false,비주도주,1.5–2.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 음봉,비정배열,MA20·60 위,52주 고가 5% 이내,0.036608864507813976,0.026378514950976317,0.03496279472375563,0.044767682327155,-0.07304747025732561,,
017800,20251226,hogaplay,31276,31155,20625,9,true,17398,1.5164121212121213,현대엘리베이터,KOSPI,false,true,92300.0,92400.0,90100.0,90900.0,591420,0.005530973451327359,-0.015167930660888408,0.03530751708428248,0.11945812807881784,0.08602150537634401,30830093170.0,1.8430692391270305,95000.0,95000.0,-0.015401540154015403,-0.034103410341034146,-0.04290429042904287,-0.028602860286028653,-0.012101210121012063,0.011299435028248483,-0.00790960451977396,-0.016949152542372836,-0.002259887005649719,0.014689265536723228,-0.02640264026402639,90300.0,85700.0,86200.0,89760.0,90635.0,83278.33333333333,82489.16666666667,-0.0066006600660065695,-0.057205720572057195,false,false,false,false,0.9568421052631579,true,true,true,true,false,0.32142857142857145,4130.37,4143.14,4116.53,4129.68,0.005125808665683573,-0.0001670552517085878,0.03383894395057219,0.03580968720136668,true,true,0.022006547722825953,0.04357480482749265,0.0958427771643322,0.13632048972317468,0.23129395013657228,false,false,비주도주,1.5–2.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 양봉,비정배열,MA20·60 위,52주 고가 5% 이내,-0.037408087876841356,-0.0776782151685268,-0.13874706759337507,-0.16492335000920333,-0.24339516025758434,,
017800,20260121,hogaplay,33905,25532,22397,10,true,15904,1.5138188150198688,현대엘리베이터,KOSPI,false,true,91100.0,93500.0,90400.0,92500.0,340147,-0.001079913606911398,0.015367727771679473,0.05353075170842825,0.04284103720405863,0.12804878048780477,22753031345.0,1.3176995161484018,95000.0,93900.0,0.00864864864864856,-0.01621621621621616,-0.01621621621621616,0.040000000000000036,0.20756756756756767,0.013029315960912058,-0.011943539630836053,-0.011943539630836053,0.0445168295331162,0.21281216069489695,-0.00432432432432428,98900.0,88900.0,89800.0,90420.0,88760.0,85161.66666666667,82981.66666666667,0.06918918918918915,-0.038918918918918965,false,false,true,false,0.9736842105263158,true,true,true,true,true,0.32545454545454544,4808.94,4910.54,4807.13,4909.93,0.004949086629483679,0.021000469958036637,0.0395566471173594,0.221208541119996,true,true,0.008676294774059734,0.008077508233314878,0.053133140391003586,0.09392598265148377,0.19066666938225185,false,false,비주도주,1.5–2.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 음봉,정배열,MA20·60 위,52주 고가 5% 이내,-0.000027646125411173728,-0.02429372444953104,-0.06934935660721975,-0.05392598265148374,0.016900898185315816,,
017800,20260206,hogaplay,63028,32653,33676,10,true,18124,1.871599952488419,현대엘리베이터,KOSPI,false,true,95000.0,103000.0,92500.0,102200.0,613572,0.06237006237006226,0.07578947368421053,0.08262711864406769,0.17741935483870974,0.2109004739336493,25010603110.0,2.519982947446758,103000.0,99000.0,0.011741682974559797,0.00391389432485334,0.010763209393346296,0.066536203522505,-0.13796477495107629,0.0,-0.007736943907156624,-0.0009671179883945502,0.05415860735009681,-0.1479690522243714,0.011741682974559797,113400.0,97200.0,98400.0,97000.0,92260.0,88701.66666666667,84157.5,0.1095890410958904,-0.048923679060665415,true,true,true,true,0.9922330097087378,true,true,true,true,true,0.37373737373737376,5013.15,5120.77,4899.3,5089.14,-0.014414445819462052,0.015158134107297945,-0.025882596145747838,0.10963473983498773,true,true,0.04104819281843297,0.05214044023155173,0.08211014041665199,0.19545935069579512,0.09709106057212025,false,false,비주도주,1.5–2.0×,지수 5일 하락,지수 음봉,지수>MA20,당일 양봉,정배열,MA20·60 위,52주 고가 5% 이내,-0.029306509843873174,-0.04822654590669839,-0.07134693102330569,-0.12892314717329012,-0.23505583552319653,,
018000,20260810,hogaplay,1535658,11280,214259,10,true,5138,7.167297523091212,유니슨,KOSDAQ,false,true,918.0,1005.0,916.0,1000.0,8995113,0.08932461873638342,0.08932461873638345,0.38696255201109575,0.07526881720430101,-0.003984063745019917,1802957543.75,5.3016496115713725,1794.0,968.0,-0.09899999999999998,-0.134,-0.013000000000000012,-0.020000000000000018,,-0.05456453305351516,-0.09129066107030426,0.03567681007345236,0.02833158447009443,,-0.04700000000000004,1017.0,863.0,863.0,891.0,832.9,921.25,1117.2083333333333,0.016999999999999904,-0.137,false,false,true,true,0.5574136008918618,true,true,true,false,false,,807.66,855.38,807.66,854.47,0.06967864698739379,0.05795755639749407,0.15883908591577955,0.020347969382515707,true,false,0.003943965265018168,0.008075181106416807,-0.023722307395227404,-0.03197303591700129,,,false,유니버스 밖,≥3.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 양봉,비정배열,MA20·60 위,52주 고가 20%+ 아래,-0.10294396526501814,-0.14207518110641681,0.010722307395227393,0.011973035917001273,,,
018000,20260827,hogaplay,568376,14326,257608,10,true,4509,2.2063600509300954,유니슨,KOSDAQ,false,true,1040.0,1337.0,1012.0,1140.0,15861764,0.09826589595375723,0.09615384615384616,0.14457831325301207,0.5921787709497206,0.1287128712871286,3450030297.45,5.670138620722727,1794.0,1049.0,0.06491228070175437,0.09122807017543866,,,,0.06026200873362453,0.08646288209606978,,,,0.004385964912280604,,,,1014.4,913.05,914.5833333333334,1098.45,,,,,,true,0.6354515050167224,true,true,true,true,false,,828.42,839.57,824.22,837.65,0.013037115870693006,0.011141691412568527,-0.003853060447858825,0.264033922858695,true,false,0.0009073001850414819,-0.01957858294036885,-0.04292962454485749,,,,false,유니버스 밖,2.0–3.0×,지수 5일 하락,지수 양봉,지수>MA20,당일 양봉,비정배열,MA20·60 위,52주 고가 20%+ 아래,0.06400498051671288,0.11080665311580751,,,,,
018260,20260528,hogaplay,31502,63021,18672,10,true,1711,1.6871251071122537,삼성에스디에스,KOSPI,false,true,251500.0,254000.0,238000.0,248500.0,1432832,-0.0497131931166348,-0.011928429423459244,0.5078883495145632,0.46348645465253235,0.46780862374483156,146525709660.0,2.200771527678101,261500.0,261500.0,0.20321931589537234,0.2092555331991952,0.016096579476861272,-0.046277665995975825,-0.23581488933601613,0.12406015037593976,0.12969924812030076,-0.050751879699248104,-0.10902255639097747,-0.28609022556390973,0.07042253521126751,388500.0,211000.0,225000.0,218300.0,185495.0,170061.66666666666,172217.5,0.5633802816901408,-0.15090543259557343,false,false,true,false,0.9502868068833652,true,true,true,true,true,0.5660639777468707,8165.73,8253.6,7841.01,8185.29,-0.0052754384046083125,0.0023953767758669955,0.13543442526304106,0.23737760826481513,true,true,0.03553447709244262,0.07528138893063052,-0.0030176084170505657,-0.007534247412125938,0.027600732533605843,false,false,비주도주,1.5–2.0×,지수 5일 상승,지수 음봉,지수>MA20,당일 음봉,정배열,MA20·60 위,52주 고가 5% 이내,0.16768483880292973,0.1339741442685647,0.019114187893911838,-0.03874341858384989,-0.263415621869622,14:51,14:00–15:30
018290,20260807,hogaplay,17758,11686,7819,10,true,6768,2.2711344161657503,브이티,KOSDAQ,false,true,13500.0,14100.0,13210.0,13580.0,210258,0.00592592592592589,0.005925925925925926,0.16167664670658688,0.14309764309764317,-0.3517899761336516,2155825449.5,1.156727123187439,39350.0,14010.0,0.02135493372606767,0.08615611192930772,-0.04344624447717227,-0.07731958762886593,,0.022107590272660183,0.08695652173913038,-0.0427413411938099,-0.07663964627855568,,-0.0007363770250368162,15560.0,12000.0,12210.0,13002.0,11912.0,12519.166666666666,14374.833333333334,0.14580265095729006,-0.11634756995581741,false,false,true,false,0.3451080050825921,true,true,true,false,false,,807.62,814.8,776.6,798.81,-0.0035675527336684887,-0.010908595626656173,0.10982827609203061,0.006057934508816087,true,false,0.06967864698739379,0.07523691491092999,0.082422603622889,0.018177038344537655,,,false,유니버스 밖,2.0–3.0×,지수 5일 상승,지수 음봉,지수>MA20,당일 양봉,비정배열,MA20·60 위,52주 고가 20%+ 아래,-0.04832371326132612,0.010919197018377735,-0.12586884810006127,-0.09549662597340358,,,
024840,20260615,hogaplay,169276,27792,99626,10,true,1138,1.6991146889366229,KBI메탈,KOSDAQ,false,true,4905.0,5390.0,4560.0,4780.0,4785224,0.06222222222222218,-0.0254841997961264,0.17156862745098045,-0.3856041131105399,1.7236467236467234,26901610471.75,1.0019366308619684,11760.0,8550.0,-0.006276150627615107,0.025104602510460206,-0.07531380753138073,-0.2447698744769874,-0.05962343096234313,-0.01144640998959412,0.019771071800208206,-0.08012486992715917,-0.2486992715920916,-0.06451612903225812,0.0052301255230124966,6300.0,3340.0,3385.0,4666.0,5476.25,4335.666666666667,3113.641666666667,0.3179916317991631,-0.301255230125523,false,false,false,false,0.4064625850340136,true,false,true,true,false,0.8802083333333334,1048.19,1054.32,1025.42,1034.03,0.004839414994412428,-0.013509001230692987,0.13456368843195565,-0.1318624117405066,false,false,-0.014844830420780886,-0.03201067667282387,-0.06347011208572284,-0.10972602342291804,-0.2269469938009535,true,false,주도주(RS상위20%),1.5–2.0×,지수 5일 상승,지수 양봉,지수<MA20,당일 양봉,비정배열,MA20 아래,52주 고가 20%+ 아래,0.008568679793165779,0.05711527918328407,-0.011843695445657887,-0.13504385105406935,0.16732356283861038,12:41,12:00–14:00
024840,20260806,hogaplay,187537,60911,93494,10,true,13265,2.0058720345690633,KBI메탈,KOSDAQ,false,true,5240.0,5700.0,5030.0,5420.0,23774962,0.08726178535606821,0.03435114503816794,0.712480252764613,0.3756345177664975,2.120322394933794,21241121106.25,6.916633774420356,11760.0,5280.0,-0.11254612546125464,-0.027675276752767486,0.046125461254612476,-0.023985239852398532,,-0.12226277372262773,-0.038321167883211715,0.034671532846715314,-0.034671532846715314,,0.011070110701107083,6425.0,4700.0,4810.0,4322.0,4323.25,4940.333333333333,3921.5333333333333,0.18542435424354253,-0.1328413284132841,false,false,true,true,0.4608843537414966,true,true,true,true,false,0.9864864864864865,797.44,813.54,779.08,801.67,0.0026013331832563935,0.005304474317816894,0.24332330407270697,0.02123566878980876,true,false,-0.0035675527336684887,0.07006623673082446,0.07446954482517754,0.00033679693639543373,,true,false,주도주(RS상위20%),2.0–3.0×,지수 5일 상승,지수 양봉,지수>MA20,당일 양봉,비정배열,MA20·60 위,52주 고가 20%+ 아래,-0.10897857272758615,-0.09774151348359195,-0.02834408357056506,-0.024322036788793966,,10:52,10:00–12:00
025980,20260619,hogaplay,173904,13153,82501,10,true,9921,2.1079017224033647,아난티,KOSDAQ,false,true,5130.0,5180.0,4750.0,4930.0,1408931,-0.050096339113680166,-0.03898635477582846,0.0670995670995671,-0.07850467289719631,-0.3364737550471063,5868176188.75,1.2203574601186014,11850.0,5790.0,-0.05273833671399597,-0.14807302231237318,-0.20486815415821502,-0.1937119675456389,-0.24645030425963488,-0.04596527068437184,-0.14198161389172625,-0.19918283963227779,-0.1879468845760981,-0.24106230847803878,-0.007099391480730244,4895.0,3835.0,3920.0,5102.0,4954.25,6276.75,7165.708333333333,-0.007099391480730244,-0.22210953346855988,false,false,false,false,0.4160337552742616,false,false,false,false,false,0.03690036900369004,1001.4,1001.4,946.15,966.59,-0.034308093473069956,-0.03476133413221485,-0.06069675914678585,-0.08472923196379023,false,false,0.0018725623066655483,-0.059259872334702535,-0.11920255744421115,-0.1015735730764854,-0.224448835597306,false,false,비주도주,2.0–3.0×,지수 5일 하락,지수 음봉,지수<MA20,당일 음봉,비정배열,MA20 아래,52주 고가 20%+ 아래,-0.05461089902066152,-0.08881314997767065,-0.08566559671400387,-0.0921383944691535,-0.022001468662328882,12:50,12:00–14:00
